year,BLL
1949, 7.113487049639552
1950, 8.200324705367727
1951, 8.616216761863097
1952, 8.886468086060933
1953, 9.683594527677059
1954, 10.238117269670884
1955, 10.792640011664712
1956, 11.069901382661623
1957, 11.624424124655448
1958, 12.248262209398504
1959, 13.07303627559017
1960, 13.218677007887699
1961, 13.946488106754597
1962, 14.604983862872263
1963, 15.450395506840394
1964, 15.998300764655902
1965, 16.476498117101425
1966, 16.795427206272027
1967, 17.620201272463692
1968, 18.47963301002997
1969, 19.110481141572098
1970, 19.665003883565923
1971, 20.219526625559748
1972, 21.14827370587526
1973, 21.74446416604277
1974, 22.132708597962598
1975, 22.11207102018613
1976, 21.27288429777557
1977, 21.189941424048943
1978, 21.39788745229663
1979, 20.288841968308972
1980, 18.763904427825956
1981, 18.48664305682904
1982, 18.105408671708286
1983, 18.105408671708286
1984, 18.04310337575813
1985, 17.412255244216006
1986, 16.303209760228356
1987, 15.194164276240702
1988, 13.98114577812921
1989, 13.114703993763857
1990, 11.69373946740468
1991, 10.383758001968417
