year,crime
1973, 688.4735202492207
1974, 639.8125793887798
1975, 722.9909906878538
1976, 830.4297719491574
1977, 892.813580423463
1978, 1031.444265921919
1979, 1135.4172800457613
1980, 1177.0064856952981
1981, 1274.0479655442182
1982, 1384.952513942983
1983, 1554.7751036785921
1984, 1728.0634605516625
1985, 1724.5976934142013
1986, 1873.6256803250417
1987, 1887.4887488748877
1988, 1797.3788033008907
1989, 1790.4472690259677
1990, 1793.913036163429
1991, 1925.6121873869627
1992, 2150.8870513219545
1993, 2254.860065445797
1994, 2254.860065445797
1995, 2199.4077912464145
1996, 2130.092448497186
1997, 2202.8735583838757
1998, 2292.9835039578725
1999, 2292.9835039578725
2000, 2216.7366269337213
2001, 2275.6546682705653
2002, 2213.27085979626
2003, 1963.7356258990383
2004, 1738.460761964047
2005, 1504.6728971962616
