year,BLL
1935, 5.489231166107253
1936, 5.975223690593353
1937, 6.183169718841043
1938, 6.391115747088726
1939, 6.113854376091815
1940, 5.774287709144744
1941, 5.739630037770127
1942, 5.697962319596442
1943, 5.663304648221832
1944, 5.670314695020906
1945, 5.490016291348766
1946, 5.420700948599531
1947, 5.420700948599531
1948, 5.559331634097994
1949, 5.5246739627233765
1950, 5.76727766234567
1951, 6.044539033342588
1952, 6.4187633716642765
1953, 6.495088761212578
1954, 6.668377118085637
1955, 6.980296160457172
1956, 7.292215202828697
1957, 7.396188216952538
1958, 7.430845888327152
1959, 7.7427649306986766
1960, 8.19331465856866
1961, 8.782495071937102
1962, 9.544963842178607
1963, 10.41140562654396
1964, 11.277847410909317
1965, 11.971000838401594
1966, 12.664154265893881
1967, 13.357307693386158
1968, 13.807857421256141
1969, 13.703884407132303
1970, 13.981145778129214
1971, 15.540740989986848
1972, 16.65679652077357
1973, 17.14200392001817
1974, 16.171589121528974
1975, 15.610056332736079
1976, 15.679371675485303
1977, 15.409120351287463
1978, 15.298137290364547
1979, 15.298137290364547
1980, 15.402110304488392
1981, 15.506083318612237
1982, 13.745552125305988
1983, 13.807857421256141
1984, 13.9464881067546
1985, 14.5080208955475
