year,crime
1957, 1864.7425490212554
1958, 2069.1835538694068
1959, 2103.841225244021
1960, 2155.827732305941
1961, 2329.116089179013
1962, 2467.7467746774673
1963, 2637.5301081510006
1964, 2748.5131690739145
1965, 2918.2965025474514
1966, 3004.9406809839893
1967, 3022.2695166712947
1968, 3025.77454007083
1969, 3043.103375758139
1970, 3247.5443806062867
1971, 3594.1210943524275
1972, 3715.422944163576
1973, 3715.422944163576
1974, 3819.3959582874177
1975, 3958.0266437858754
1976, 4183.301507720866
1977, 4498.725573491931
1978, 4685.837742652771
1979, 5223.03164895929
1980, 5586.937198392738
1981, 5448.306512894282
1982, 5604.266034080045
1983, 5968.171583513493
1984, 6401.392475696168
1985, 6730.640353755003
1986, 6886.599874940766
1987, 7233.176588686905
1988, 7496.614147396049
1989, 7773.8755183929625
1990, 7704.560175643732
1991, 7513.942983083354
1992, 8120.452232139101
1993, 9225.992692727215
1994, 10265.722833965641
1995, 10702.448749547852
1996, 10525.655369275244
1997, 10109.763312779874
1998, 9780.515434721043
1999, 9659.213584909894
2000, 8792.77180054454
2001, 8553.67312432178
2002, 8969.565180817146
2003, 8622.988467071005
2004, 9208.66385703991
2005, 9565.755640984662
