year,BLL
1936, 3.2723178859942053
1937, 3.6255120839186716
1938, 3.7294850980425096
1939, 4.110719483163265
1940, 4.422638525534786
1941, 4.977161267528615
1942, 4.769215239280932
1943, 4.977161267528615
1944, 5.462368666773209
1945, 5.358395652649371
1946, 5.670314695020899
1947, 6.22483743701472
1948, 6.640729493510094
1949, 6.952648535881622
1950, 7.3338829210023775
1951, 7.957721005745427
1952, 8.40827073361541
1953, 8.858820461485394
1954, 9.240054846606153
1955, 9.759919917225364
1956, 10.695677044339945
1957, 10.5917040302161
1958, 10.5917040302161
1959, 10.938280743962242
1960, 11.52746115733068
1961, 11.839380199702209
1962, 12.047326227949895
1963, 12.463218284445261
1964, 13.01774102643909
1965, 14.022813496302895
1966, 15.131858980290549
1967, 15.963643093281284
1968, 16.93405789177048
1969, 18.112418718507364
1970, 19.11749118837117
1971, 19.60269858761577
1972, 19.74132927311422
1973, 21.092978456724172
1974, 19.983932972736525
1975, 18.52831077500273
1976, 16.379535149776654
1977, 14.611993909671334
1978, 14.36939021004904
1979, 14.057471167677509
1980, 13.537606097058298
1981, 13.260344726061387
1982, 12.324587598946806
1983, 12.047326227949895
1984, 11.94335321382605
1985, 11.180884443584542
