year,crime
1963, 3130.8411214953267
1964, 3355.022418129658
1965, 3510.981939315425
1966, 3407.0089251915815
1967, 3753.5856389377204
1968, 4048.175845621943
1969, 4516.054409179233
1970, 4827.973451550761
1971, 5261.194343733434
1972, 5521.126879043042
1973, 5590.442221792271
1974, 5815.717085727261
1975, 6266.266813597245
1976, 6682.158870092615
1977, 7028.7355838387575
1978, 7046.064419526063
1979, 7098.050926587985
1980, 7444.627640334125
1981, 7895.177368204108
1982, 8380.384767448706
1983, 8640.31730275831
1984, 8501.686617259853
1985, 8328.398260386784
1986, 8293.74058901217
1987, 8415.04243882332
1988, 8674.974974132925
1989, 8778.94798825677
1990, 8744.290316882156
1991, 8900.249838067917
1992, 9506.759087123666
1993, 9974.637650680954
1994, 9593.403265560199
1995, 9142.853537690216
1996, 8848.263331005995
1997, 8744.290316882156
1998, 8657.646138445618
1999, 8311.069424699475
2000, 7929.83503957872
2001, 7513.942983083352
2002, 7531.27181877066
2003, 7652.57366858181
2004, 7429.906542056076
