year,BLL
1936, 4.942314087641655
1937, 4.731523880177022
1938, 4.757872656110102
1939, 4.915965311708579
1940, 5.153104295106289
1941, 5.680079813767879
1942, 4.863267759842419
1943, 3.7829679465861723
1944, 3.6512240669207756
1945, 4.178199585582359
1946, 5.601033485968635
1947, 8.420352510808115
1948, 9.632396203729762
1949, 10.580952137320612
1950, 12.214576245171525
1951, 13.690107697423961
1952, 15.402778133074111
1953, 16.799263257527308
1954, 16.74656570566115
1955, 16.799263257527308
1956, 18.538282469110538
1957, 17.932260622649714
1958, 16.087846307334168
1959, 15.244685477475631
1960, 15.297383029341795
1961, 15.613568340538745
1962, 15.481824460873348
1963, 16.562124274129594
1964, 18.749072676575167
1965, 19.618582282366788
1966, 20.593486991890714
1967, 21.04141618275306
1968, 21.673786805146968
1969, 22.385203755340104
1970, 22.754086618403214
1971, 22.174413547875467
1972, 22.016320892276994
1973, 22.253459875674707
1974, 20.909672303087667
1975, 18.169399606047428
1976, 17.510680207720444
1977, 17.457982655854288
1978, 16.614821825995755
1979, 15.718963444271061
1980, 12.899644419431585
1981, 10.422859481722138
1982, 9.421605996265129
1983, 8.499398838607355
1984, 7.1292624900872354
1985, 6.259752884295619
1986, 4.626128776444705
1987, 3.361387531656902
1988, 2.860760788928399
1989, 2.860760788928399
1990, 2.808063237062239
1991, 2.7553656851960824
1992, 2.7553656851960824
1993, 2.7290169092630023
