year,crime
1960, 157.68194070080847
1961, 157.3395093527364
1962, 158.1321032595106
1963, 161.30247888660654
1964, 178.73954483563512
1965, 193.00623515756763
1966, 209.65070719982236
1967, 235.0137122165911
1968, 275.43600146206643
1969, 310.3101333601237
1970, 344.3916713514068
1971, 378.4732093426901
1972, 394.32508747817064
1973, 406.21399607978105
1974, 436.3325645371941
1975, 468.8289147149293
1976, 474.37707206234734
1977, 468.8289147149293
1978, 482.3030111300876
1979, 515.5919552145967
1980, 563.1475896210384
1981, 592.4735641716775
1982, 582.1698433836151
1983, 556.0142444600722
1984, 534.6142089771735
1985, 544.1253358584618
1986, 577.414279942971
1987, 616.2513813748983
1988, 619.4217570019944
1989, 645.5773559255373
1990, 682.0366756371425
1991, 733.5552795774543
1992, 754.162721153579
1993, 754.162721153579
1994, 738.3108430180985
1995, 705.0218989335893
1996, 669.3551731287581
1997, 624.9699143494126
1998, 600.3995032394178
1999, 556.0142444600722
2000, 519.5549247484669
2001, 508.45861005363065
2002, 501.32526489266434
2003, 493.39932582492406
2004, 474.37707206234734
2005, 462.4881634607369
2006, 470.4141025284772
2007, 478.3400415962175
2008, 470.4141025284772
2009, 457.73260002009283
2010, 430.78440718977583
2011, 406.21399607978105
2012, 384.81396059688234
2013, 385.6065545036562
2014, 367.2165803463216
