year,lead
2007.11,35.06696
2006.90,78.16455
2006.69,82.71386
2006.48,49.83809
2006.27,67.92871
2006.06,86.45977
2005.85,29.55752
2005.65,68.58859
2005.55,284.42597
2005.45,392.67831
2005.33,280.62427
2005.19,180.83193
2005.06,594.99199
2004.94,521.59297
2004.84,182.45897
2004.73,105.45587
2004.63,275.74969
2004.53,319.17804
2004.42,301.921
2004.32,266.1625
2004.04,230.02591
2003.95,323.75509
2003.86,288.12442
2003.78,198.49951
2003.69,455.32578
2003.60,195.94037
2003.51,141.46429
2003.43,273.3441
2003.34,221.72183
2003.25,112.28554
2003.17,142.5491
2003.08,171.79606
2002.99,355.33363
2002.93,206.10646
2002.88,39.32627
2002.83,154.79029
2002.78,91.55702
2002.72,141.26314
2002.67,102.36853
2002.62,90.99604
2002.57,152.46594
2002.51,115.50271
2002.46,55.36675
2002.41,50.17446
2002.35,40.89224
2002.30,41.31851
2002.25,103.69267
2002.20,117.53282
2002.14,349.292
2002.09,357.57692
2002.04,71.7017
2001.97,188.05016
2001.89,476.46166
2001.73,371.9014
2001.64,228.90995
2001.56,416.34475
2001.48,403.11312
2001.40,165.45331
2001.31,197.25769
2001.31,60.74677
2001.31,44.07607
2001.31,55.06073
2001.15,185.44464
2001.07,871.75822
2000.71,311.41769
2000.58,399.74023
2000.44,322.60861
2000.31,460.41603
2000.18,463.52868
2000.05,232.82455
1999.91,322.94692
1999.78,63.81808
1999.64,81.8291
1999.51,95.50725
1999.37,151.10195
1999.24,61.52909
1999.11,344.98147
1998.98,379.81114
1998.83,518.62233
1998.69,432.64164
1998.55,239.13691
1998.40,149.70161
1998.26,294.77134
1998.12,358.6329
1997.96,303.38898
1997.76,63.49448
1997.55,390.1222
1997.35,591.53187
1997.15,161.30992
1996.93,330.6652
1996.71,184.01691
1996.48,132.07045
1996.25,80.91571
1996.03,175.68801
1995.89,238.93476
1995.54,121.22899
1995.42,800.81565
1995.30,400.34095
1995.18,492.11631
1995.06,600.39179
1994.95,514.44642
1994.83,225.14236
1994.72,104.47862
1994.60,633.92212
1994.49,752.76612
1994.37,602.57626
1994.26,497.12406
1994.14,542.43643
1994.03,1694.99298
1993.83,1725.29854
1993.61,531.90199
1993.38,559.16829
1993.15,871.55188
1992.97,852.41311
1992.88,462.21973
1992.79,334.71161
1992.70,554.58342
1992.60,535.91743
1992.51,366.31214
1992.42,235.30643
1992.33,158.2724
1992.24,235.7493
1992.15,325.84859
1992.05,270.179
1991.90,41.78295
1991.82,533.80794
1991.75,96.18821
1991.68,113.81425
1991.60,116.12644
1991.53,113.39942
1991.46,176.09572
1991.38,198.66515
1991.31,282.72937
1991.24,539.61872
1991.16,388.29929
1991.09,514.63757
1991.02,807.81795
1990.86,402.61371
1990.68,448.69533
1990.51,887.2815
1990.33,790.38748
1990.15,1833.34308
1989.83,117.84859
1989.69,182.57042
1989.54,214.94903
1989.39,306.61998
1989.24,234.1211
1989.10,347.90483
1988.93,359.46257
1988.72,469.51729
1986.46,1585.46934
1986.02,1462.66398
1985.11,1199.12665
1984.90,71.97666
1984.71,569.86346
1984.53,483.23957
1984.34,112.63956
1984.16,279.96772
1983.97,2049.44641
1983.81,1747.46391
1983.49,1480.03525
1983.33,1058.30293
1983.17,1984.08157
1983.01,2195.72419
1982.86,935.87506
1982.70,435.94545
1982.55,551.32299
1982.40,645.18616
1982.24,620.68367
1982.09,932.89531
1981.92,711.55594
1981.73,478.19845
1981.54,609.46765
1981.35,920.75514
1981.16,1556.86224
1980.88,909.02034
1980.77,1214.06235
1980.67,951.9523
1980.56,1130.50817
1980.45,1385.20457
1980.34,751.82857
1980.24,571.73544
1980.13,4631.85885
1980.02,12726.5308
1979.91,5916.36686
1979.81,4162.86796
1979.70,1048.99978
1979.60,1053.93051
1979.49,1389.87749
1979.39,870.87054
1979.28,904.94593
1979.18,1605.84028
1979.07,2341.2834
1978.91,2664.17729
1978.66,1119.47186
1978.40,907.67719
1978.14,5311.107
1977.95,1053.1003
1977.83,1780.69592
1977.72,361.10846
1977.60,3891.52372
1977.48,4410.48373
1977.36,5766.04546
1977.24,2194.32952
1977.12,1948.46305
1977.01,2139.16827
1976.90,1184.61452
1976.80,464.79841
1976.71,795.84834
1976.61,508.22992
1976.51,502.32235
1976.41,679.61836
1976.31,761.26476
1976.21,389.78178
1976.11,1142.57815
1976.01,1631.04418
1975.89,1148.50057
1975.79,295.10568
1975.68,259.67273
1975.57,253.10944
1975.46,227.52798
1975.35,280.30687
1975.24,256.99829
1975.13,388.7767
1975.02,651.00142
1974.88,845.77975
1974.74,680.65857
1974.59,793.04938
1974.44,1350.31986
1974.29,2303.77395
1974.14,6888.72609
1973.99,9075.71989
1973.83,5725.8949
1973.66,11103.7792
1973.49,12056.4231
1973.33,18630.8358
1973.16,8678.19329
1972.99,14482.9803
1972.87,881.32651
1972.74,1455.14555
1972.61,1431.35749
1972.48,1415.28811
1972.35,1414.27915
1972.23,5731.95337
1972.10,8834.60477
1971.95,12153.8398
1971.71,3987.07891
1971.46,912.42779
1971.22,3834.35864
1970.98,7984.31011
1970.76,1161.7077
1970.54,480.77372
1970.32,866.97865
1970.11,4407.78799
1969.87,5465.02851
1969.63,1450.65046
1969.38,861.89439
1969.14,1346.39525
1968.89,2685.22049
1968.61,242.12808
1968.33,1766.64177
1968.04,2330.91575
1967.76,1043.75124
1967.48,1373.0308
1967.20,2295.24414
1966.93,3910.42145
1966.71,5678.23606
1966.49,3264.01845
1966.27,2431.87956
1966.05,963.35006
1965.80,1300.44829
1965.54,539.05431
1965.28,734.98264
1965.01,1323.16934
1964.80,955.07819
1964.58,443.86812
1964.37,1563.63209
1964.16,2065.63803
1963.97,11152.1775
1963.86,11066.8699
1963.66,1252.66561
1963.55,1877.75053
1963.45,1743.41691
1960.49,131.50455
1960.38,193.08772
1960.27,309.15541
1960.15,1714.75349
1960.04,1962.35904
1959.85,2590.32192
1959.61,928.59096
1959.37,1321.0216
1959.13,1865.55656
1958.94,4660.80185
1958.80,5074.46513
1958.67,1261.70148
1958.53,374.96758
1958.40,277.76124
1958.26,527.086
1958.13,1856.35111
1957.99,4111.92423
1957.85,4010.27661
1957.14,6607.93002
1956.87,190.89124
1956.73,542.12267
1955.47,766.87278
1955.32,335.69417
1955.17,642.58669
1955.01,1509.82072
1954.87,375.4748
1954.73,270.55055
1954.59,135.2447
1954.45,3622.33448
1954.31,2046.5883
1954.03,2614.29187
1953.79,515.40482
1953.67,1675.05839
1953.55,1644.54237
1953.44,362.00008
1953.32,544.4522
1953.20,1090.6822
1953.08,1248.7739
1952.94,957.61382
1952.73,610.77859
1952.52,568.827
1952.31,639.48332
1952.10,1781.15706
1951.91,1263.24535
1951.73,430.53671
1951.55,254.4708
1951.37,399.56848
1951.19,2238.27686
1951.01,1580.75893
1950.91,270.10635
1950.81,382.35385
1950.72,510.54242
1950.63,608.38203
1950.53,531.05476
1950.44,669.09644
1950.25,190.72604
1950.16,654.76509
1950.07,546.29702
1949.96,543.94697
1949.79,1238.36279
1949.63,273.91954
1949.47,279.77714
1949.31,149.20677
1949.15,479.7025
1948.99,899.93075
1948.88,1177.29208
1948.78,163.99407
1948.67,195.68149
1948.57,199.16416
1948.46,151.13887
1948.35,205.56275
1948.25,111.64731
1948.14,662.82016
1948.04,191.40272
1947.89,178.11483
1947.72,202.19238
1947.55,162.51879
1947.37,135.82521
1947.19,295.83501
1947.02,293.26537
1946.82,1524.39385
1946.63,231.72271
1946.44,711.55676
1946.25,560.52582
1946.06,1347.94751
1945.94,6406.7046
1945.86,1214.67731
1945.77,1768.56242
1945.69,4200.14664
1945.60,1122.34249
1945.52,409.61043
1945.43,296.58034
1945.35,258.77558
1945.26,388.47982
1945.18,410.83823
1945.09,781.09258
1944.59,150.98245
1944.37,866.51795
1944.16,1178.58562
1943.96,1461.29626
1943.83,948.92044
1943.70,397.80771
1943.57,234.48996
1943.44,675.88767
1943.32,1268.74264
1943.19,453.68829
1943.06,448.13062
1942.89,2093.43388
1942.70,1471.2367
1942.50,823.05578
1942.31,328.42763
1942.11,225.63139
1941.95,631.61283
1941.82,180.5938
1941.69,96.19671
1941.44,179.98528
1941.31,166.12839
1941.18,1460.61617
1941.06,914.14705
1940.96,828.73309
1940.87,632.798
1940.79,620.29358
1940.71,464.74239
1940.62,410.0166
1940.54,302.09564
1940.46,155.37426
1940.37,143.80523
1940.29,180.30403
1940.21,576.87209
1940.12,1092.77738
1940.04,468.40367
1939.96,874.19308
1939.90,205.95775
1939.84,434.02741
1939.77,370.90352
1939.71,246.61026
1939.64,213.83573
1939.58,190.41745
1939.51,214.17452
1939.44,252.37695
1939.38,364.44887
1939.31,209.96474
1939.25,121.92527
1939.18,196.65747
1939.11,307.14011
1939.05,348.15408
1938.97,1064.53146
1938.86,319.97986
1938.75,127.16509
1938.64,67.28193
1938.53,104.32706
1938.42,145.89109
1938.31,124.84123
1938.19,582.21798
1938.08,1510.92721
1937.95,2509.54128
1937.75,1013.05009
1937.55,734.69165
1937.35,1206.8221
1937.16,1614.85247
1936.94,3893.47248
1936.67,1774.5093
1936.40,481.80957
1936.13,73.13686
1935.87,271.38922
1935.62,549.71623
1935.37,670.70303
1935.12,716.03737
1934.92,387.54673
1934.77,865.56783
1934.62,627.80799
1934.46,416.08817
1934.31,329.10659
1934.15,408.0643
1933.99,262.21529
1933.77,740.65087
1933.55,865.34914
1933.34,276.96366
1933.12,964.74968
1932.92,708.60758
